1,c,smj,10,4096,10,470.808
1,c,hj,10,4096,10,201.811
1,c,smj,10,4096,100,471.623
1,c,hj,10,4096,100,201.573
1,c,smj,10,4096,1000,471.671
1,c,hj,10,4096,1000,210.359
1,c,smj,10,4096,10000,471.759
1,c,hj,10,4096,10000,213.016
1,c,smj,10,4096,50000,469.391
1,c,hj,10,4096,50000,222.162
1,c,smj,10,4096,100000,466.043
1,c,hj,10,4096,100000,210.008
1,c,inlj-r,10,4096,10,1007.06
1,c,smj-r,10,4096,10,472.565
1,c,inlj-r,10,4096,100,1086.67
1,c,smj-r,10,4096,100,471.771
1,c,inlj-r,10,4096,1000,1087.42
1,c,smj-r,10,4096,1000,469.29
1,c,inlj-r,10,4096,10000,1075.05
1,c,smj-r,10,4096,10000,468.975
1,c,inlj-r,10,4096,50000,1039.65
1,c,smj-r,10,4096,50000,560.363
1,c,inlj-r,10,4096,100000,993.335
1,c,smj-r,10,4096,100000,532.036
1,c,inlj-s,10,4096,10,998.41
1,c,smj-s,10,4096,10,361.414
1,c,inlj-s,10,4096,100,7672.26
1,c,smj-s,10,4096,100,361.001
1,c,inlj-s,10,4096,1000,75275.4
1,c,smj-s,10,4096,1000,363.346
1,c,inlj-s,10,4096,10000,714450
1,c,smj-s,10,4096,10000,362.119
1,c,inlj-s,10,4096,50000,2.82592e+06
1,c,smj-s,10,4096,50000,359.586
1,c,inlj-s,10,4096,100000,4.88569e+06
1,c,smj-s,10,4096,100000,352.894
